Country,safe_water,sanitation_service,air_pollution,co2_emissions
Albania,70.0,39.9,18.2,2.0
Andorra,90.6,100.0,10.3,5.8
Armenia,86.5,48.2,32.2,1.9
Austria,98.9,96.7,12.6,6.9
Bahrain,99.0,96.0,69.9,23.5
Belarus,94.5,80.5,18.9,6.7
Belgium,99.5,97.1,12.8,8.3
Bosnia and Herzegovina,88.8,21.6,27.6,6.4
Bulgaria,96.9,64.4,19.3,5.9
Canada,98.9,82.3,6.5,15.2
Chile,98.6,77.5,20.9,4.6
Colombia,73.2,17.0,16.6,1.8
Croatia,90.0,58.5,17.8,4.0
Cyprus,99.6,75.5,17.0,5.3
Czech Republic,97.9,94.5,16.1,9.2
Denmark,96.7,94.8,10.1,5.9
Ecuador,75.1,42.0,15.0,2.8
Estonia,93.3,97.4,6.8,14.8
Finland,99.6,99.2,5.9,8.7
France,97.9,88.4,11.9,4.6
Georgia,80.0,27.2,21.8,2.4
Germany,99.8,97.2,11.9,8.9
Greece,100.0,90.4,16.3,6.2
Greenland,96.7,94.8,11.6,9.0
Hungary,89.6,95.7,15.9,4.3
Iceland,100.0,81.8,6.6,6.1
Iraq,58.8,41.1,64.0,4.9
Ireland,97.3,82.4,8.3,7.3
Israel,99.4,93.7,20.8,7.9
Italy,95.0,96.2,16.5,5.3
Japan,98.5,98.8,11.6,9.5
Jordan,93.8,80.6,33.2,3.0
Korea_Rep,98.2,99.9,25.1,11.6
Kuwait,100.0,100.0,60.8,25.8
Lao PDR,16.1,58.1,25.8,0.3
Latvia,95.2,85.8,13.4,3.5
Lebanon,47.7,21.8,30.2,3.8
Lithuania,92.0,91.3,11.8,4.4
Luxembourg,99.7,96.6,10.3,17.4
Madagascar,81.0,16.6,29.6,3.6
Maldives,93.3,88.6,15.8,8.1
Marshall Islands,100.0,93.0,13.8,5.4
Micronesia,42.9,50.4,20.7,4.0
Mozambique,70.3,38.8,32.9,1.8
New Caledonia,100.0,97.5,12.0,9.9
Nicaragua,100.0,88.7,6.0,7.7
North Macedonia,20.1,26.7,71.4,0.5
Norway,98.3,76.3,7.0,9.3
Paraguay,63.9,58.5,11.6,0.9
Peru,50.4,42.8,25.5,2.1
Philippines,46.7,51.6,18.2,1.1
Poland,99.2,93.3,21.0,7.5
Portugal,95.3,84.7,8.1,4.3
Qatar,96.2,96.0,88.2,43.9
Romania,81.9,76.5,14.5,3.5
Russian Federation,76.0,61.3,16.2,11.9
Samoa,58.8,48.5,11.4,1.0
Serbia,74.7,24.7,24.8,5.3
Sierra Leone,9.9,13.3,21.3,0.2
Singapore,100.0,100.0,18.8,10.3
Slovak Republic,99.8,82.5,17.4,5.7
Slovenia,98.1,83.0,15.9,6.2
Spain,98.4,96.6,9.7,5.0
Sweden,99.9,93.4,6.1,4.5
Switzerland,95.5,99.5,10.3,4.3
Tunisia,92.7,78.1,38.5,2.6
Ukraine,92.0,68.5,20.6,5.0
United Kingdom,100.0,97.8,10.5,6.5
United States,99.0,90.0,7.4,16.5
