Country,safe_water,sanitation_service,air_pollution,slum_population,co2_emissions,smoking_male,smoking_female,tuberculosis,HIV_total,HIV_male,HIV_female,HIV_youth_male,HIV_youth_female,HIV_therapy,diabetes
Afghanistan,,,56.3,62.7,0.3,,,189,0.1,71,29,0.1,0.1,13,9.2
Albania,70,39.9,18.2,,2,51,7,18,,,,,,,9
Algeria,,17.7,39.9,,3.7,30,1,69,0.1,54,46,0.1,0.1,81,6.7
American Samoa,12.6,,12.4,,,,,0,,,,,,,
Andorra,90.6,100,10.3,,5.8,38,29,3,,,,,,,7.7
Angola,,,31.8,55.5,1.3,,,355,2,31,69,0.3,1.2,27,4.5
Antigua and Barbuda,,,18.5,,5.7,,,6,,,,,,,13.1
Argentina,,,13.8,16.7,4.8,28,16,27,0.4,68,32,0.1,0.1,61,5.9
Armenia,86.5,48.2,32.2,14.4,1.9,52,2,31,0.2,66,34,0.1,0.1,53,6.1
Aruba,,,,,8.4,,,5,,,,,,,11.6
Australia,,75.6,8.6,,15.4,17,13,7,0.1,88,12,0.1,0.1,83,5.6
Austria,98.9,96.7,12.6,,6.9,31,28,7,,,,,,,6.6
Azerbaijan,73.6,,20.2,,3.9,43,0,63,,,,,,,6.1
"Bahamas, The",,,17.7,,6.5,20,3,14,1.8,56,44,0.6,0.5,52,8.8
Bahrain,99,96,69.9,,23.5,38,6,11,,,,,,,15.6
Bangladesh,55.4,,60.1,55.1,0.5,45,1,221,0.1,64,36,0.1,0.1,22,9.2
Barbados,,,23.5,,4.5,15,2,0,1.5,66,34,0.3,0.2,50,13.4
Belarus,94.5,80.5,18.9,,6.7,46,11,31,0.5,57,43,0.1,0.1,59,5
Belgium,99.5,97.1,12.8,,8.3,31,25,9,,,,,,,4.6
Belize,,,23.1,10.8,1.4,,,30,1.9,53,47,0.8,1,28,17.1
Benin,,,38.4,61.5,0.6,12,1,56,1,39,61,0.2,0.4,61,1
Bermuda,,,11.7,,8.8,,,4,,,,,,,6.7
Bhutan,36.2,,37.2,,1.4,,,149,0.3,70,30,0.1,0.1,37,10.3
Bolivia,,22.9,21.4,43.5,1.9,,,108,0.3,68,32,0.1,0.1,44,6.8
Bosnia and Herzegovina,88.8,21.6,27.6,,6.4,48,30,25,0.1,85,15,0.1,0.1,67,9
Botswana,,,23.6,,3.4,34,6,275,20.3,43,57,4.9,8.9,83,5.8
Brazil,,49.3,12.7,22.3,2.6,18,10,45,0.5,,,,,66,10.4
Brunei Darussalam,,,5.9,,22.2,31,2,68,,,,,,,13.3
Bulgaria,96.9,64.4,19.3,,5.9,44,30,22,0.1,78,22,0.1,0.1,41,6
Burkina Faso,,,41.5,65.8,0.2,24,2,48,0.7,39,61,0.2,0.4,62,7.3
Burundi,,,38.7,57.9,0,,,111,1,38,62,0.5,0.6,80,5.1
Cabo Verde,,,33.4,,0.9,17,2,46,0.6,46,54,0.1,0.2,89,2.4
Cambodia,25.8,,25.2,55.1,0.4,34,2,302,0.5,47,53,0.1,0.1,81,6.4
Cameroon,,,73.2,37.8,0.3,,,186,3.6,34,66,0.7,1.8,52,6
Canada,98.9,82.3,6.5,,15.2,17,12,6,,,,,,69,7.6
Cayman Islands,,,,,8.9,,,5,,,,,,,6.8
Central African Republic,,,57,93.3,0.1,,,540,3.6,41,59,1,1.5,36,6
Chad,,,64.8,88.2,0.1,,,142,1.3,43,57,0.5,0.8,51,6
Channel Islands,92,90,,,,,,,,,,,,,3.9
Chile,98.6,77.5,20.9,,4.6,42,34,18,0.5,83,17,0.2,0.1,63,8.6
China,,72.1,52.2,25.2,7.5,48,2,61,,,,,,,9.2
"Hong Kong SAR, China",100,91.8,,,6.4,,,67,,,,,,,4.5
"Macao SAR, China",100,,,,2.2,,,60,,,,,,,4.3
Colombia,73.2,17,16.6,13.1,1.8,14,5,33,0.4,80,20,0.1,0.1,73,7.4
Comoros,,,20.5,69.6,0.2,24,4,35,0.1,56,44,0.1,0.1,79,12.3
"Congo, Dem. Rep.",,,45.5,74.8,0.1,,,321,0.8,28,72,0.2,0.5,57,6
"Congo, Rep.",45.4,,45.7,46.9,0.7,52,2,375,2.6,33,67,0.5,1.6,35,6
Costa Rica,93.8,,15.7,5.5,1.6,17,6,10,0.4,80,20,0.1,0.1,49,9.1
Cote d'Ivoire,36.5,,26.7,56,0.5,,,142,2.6,39,61,0.6,1.2,55,2.4
Croatia,90,58.5,17.8,,4,40,34,8,0.1,89,11,0.1,0.1,75,5.4
Cuba,,44.3,19.7,,3.1,53,17,7,0.4,82,18,0.1,0.1,72,9.6
Curacao,,,,,37.7,,,6,,,,,,,11.6
Cyprus,99.6,75.5,17,,5.3,53,20,5,,,,,,,9
Czech Republic,97.9,94.5,16.1,,9.2,38,31,5,0.1,89,11,0.1,0.1,60,7
Denmark,96.7,94.8,10.1,,5.9,19,19,5,0.1,74,26,0.1,0.1,89,8.3
Djibouti,,36.4,45.9,65.6,0.8,25,2,260,1.2,42,58,0.4,0.6,30,5.1
Dominica,,,20,,1.9,,,6,,,,,,,11.6
Dominican Republic,,,13.7,12.1,2.1,19,9,45,0.9,51,49,0.3,0.3,56,8.6
Ecuador,75.1,42,15,36,2.8,12,2,44,0.4,70,30,0.1,0.1,57,5.5
"Egypt, Arab Rep.",,60.7,88.1,10.6,2.2,50,0,12,0.1,70,30,0.1,0.1,31,17.2
El Salvador,,,24.7,,1,19,3,70,0.6,63,37,0.2,0.1,47,8.8
Equatorial Guinea,,,54.5,66.2,4.8,,,201,7.1,48,52,1.8,3.3,34,6
Eritrea,,,48.7,,0.2,11,0,89,0.7,39,61,0.2,0.3,51,5.1
Estonia,93.3,97.4,6.8,,14.8,39,25,13,0.9,65,35,0.1,0.1,59,4.2
Eswatini,,,17.1,32.7,1.1,17,2,329,27.3,37,63,3.1,15.9,86,4.5
Ethiopia,11.4,,39.2,73.9,0.1,9,0,151,1,37,63,0.2,0.4,65,4.3
Faroe Islands,,,,,12.5,,,,,,,,,,4.7
Fiji,,,11.1,,1.4,35,10,54,,,,,,,14.7
Finland,99.6,99.2,5.9,,8.7,23,18,5,0.1,72,28,0.1,0.1,76,5.6
France,97.9,88.4,11.9,,4.6,36,30,9,0.3,74,26,0.1,0.1,83,4.8
French Polynesia,,,,,3,,,22,,,,,,,19.5
Gabon,,,43.7,37,2.8,,,525,3.8,31,69,0.5,1.9,67,6
"Gambia, The",,,32.6,34.8,0.3,31,1,174,1.9,39,61,0.2,0.6,29,1.9
Georgia,80,27.2,21.8,,2.4,56,5,80,0.4,68,32,0.1,0.1,49,5.8
Germany,99.8,97.2,11.9,,8.9,33,28,7,0.1,80,20,0.1,0.1,80,10.4
Ghana,36.4,,36.3,37.9,0.5,8,0,148,1.7,33,67,0.4,1,34,2.5
Greece,100,90.4,16.3,,6.2,52,35,5,,,,,,,4.7
Greenland,96.7,94.8,11.6,,9,,,100,,,,,,,2.1
Grenada,87.1,,22.9,,2.2,,,2,,,,,,,10.7
Guam,99.5,,11.7,,,,,49,,,,,,,18.7
Guatemala,56,,23.8,34.5,1.2,,,26,0.4,57,43,0.1,0.1,43,10
Guinea,,,24.8,43.3,0.2,,,176,1.4,38,62,0.3,0.8,40,2.4
Guinea-Bissau,,,29.6,82.3,0.2,,,361,3.5,39,61,0.9,1.4,33,2.4
Guyana,,,22.4,33.1,2.6,,,83,1.4,52,48,0.3,0.4,68,11.6
Haiti,,,15.1,74.4,0.3,23,3,176,2,42,58,0.5,1.1,58,6.7
Honduras,,,21.1,27.5,1.1,,2,37,0.3,60,40,0.2,0.1,50,7.3
Hungary,89.6,95.7,15.9,,4.3,35,27,6,0.1,84,16,0.1,0.1,56,6.9
Iceland,100,81.8,6.6,,6.1,15,14,3,0.1,74,26,0.1,0.1,79,5.8
India,,,89.7,24,1.7,21,2,199,,,,,,,10.4
Indonesia,,,16.4,21.8,1.8,76,3,316,0.4,64,36,0.3,0.2,17,6.3
"Iran, Islamic Rep.",91.8,,38.8,,8.4,21,1,14,0.1,75,25,0.1,0.1,20,9.6
Iraq,58.8,41.1,64,47.2,4.9,,,42,,,,,,,8.8
Ireland,97.3,82.4,8.3,,7.3,26,23,7,0.2,66,34,0.1,0.1,80,3.2
Isle of Man,97.2,,,,,,,,,,,,,,
Israel,99.4,93.7,20.8,,7.9,35,15,4,0.2,75,25,0.1,0.1,,9.7
Italy,95,96.2,16.5,,5.3,28,20,7,0.3,70,30,0.1,0.1,91,5
Jamaica,,,13.4,,2.6,29,5,3,1.9,63,37,0.5,0.3,31,11.3
Japan,98.5,98.8,11.6,,9.5,34,11,14,0.1,90,10,0.1,0.1,80,5.6
Jordan,93.8,80.6,33.2,12.9,3,,,5,0.1,83,17,0.1,0.1,84,12.7
Kazakhstan,89.5,,13.1,,14.4,43,7,68,0.2,63,37,0.1,0.1,58,6.1
Kenya,,,28.6,56,0.3,20,1,292,4.7,37,63,1.5,2.5,68,3.1
Kiribati,,,10.5,,0.6,59,36,349,,,,,,,22.5
"Korea, Dem",66.6,,31.8,,1.6,,,513,,,,,,,6.4
"Korea, Rep.",98.2,99.9,25.1,,11.6,41,6,66,,,,,,,6.9
Kosovo,,,,,,,,,,,,,,,
Kuwait,100,100,60.8,,25.8,37,3,23,0.1,71,29,0.1,0.1,62,12.2
Kyrgyz Republic,68.2,,23.2,,1.6,51,4,116,0.2,66,34,0.1,0.1,43,6.1
Lao PDR,16.1,58.1,25.8,31.4,0.3,51,7,162,0.3,55,45,0.1,0.1,54,6.4
Latvia,95.2,85.8,13.4,,3.5,51,26,29,0.4,69,31,0.1,0.1,45,5
Lebanon,47.7,21.8,30.2,,3.8,41,27,11,0.1,84,16,0.1,0.1,60,11.2
Lesotho,,,28.3,50.8,1.2,54,0,611,23.6,41,59,4.1,10.8,61,4.5
Liberia,,,17.9,65.7,0.2,18,2,308,1.3,38,62,0.4,0.8,35,2.4
Libya,,26.1,52.1,,9,,,40,0.2,70,30,0.1,0.1,44,10.2
Liechtenstein,100,99.7,,,1.2,,,,,,,,,,9.4
Lithuania,92,91.3,11.8,,4.4,38,21,44,,,,,,,3.8
Luxembourg,99.7,96.6,10.3,,17.4,26,21,8,0.3,72,28,0.1,0.1,77,5
North Macedonia,81,16.6,29.6,,3.6,,,13,0.1,88,12,0.1,0.1,54,9.3
Madagascar,,,22.9,77.2,0.1,,,233,0.3,69,31,0.2,0.1,9,4.5
